Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
C3Z6Z4,57,,Uncoordinated-4c,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
T1EHD8,57,20195988,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding",regulation of gene expression,Nucleus
A0A1J1IY55,58,,"CLUMA_CG017573, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q9VX20,58,32758,IP01524p,Drosophila melanogaster (Fruit fly),7227,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding","multicellular organism reproduction, regulation of gene expression","Extracellular region or secreted, Nucleus"
E4X2Y3,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A177AUM5,58,,Homeobox domain-containing protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1G079,58,20214477,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding",regulation of gene expression,Nucleus
A0A2R2MSK5,57,,homeobox protein unc-4 isoform X2,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q0N4A8,58,5506887,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4SNF5,58,,Homeobox protein unc-4-like,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0R4IJ70,58,,Si:dkey-43p13.5,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","enteric nervous system development, regulation of transcription by RNA polymerase II",Nucleus
C3Z6Z1,58,,Uncoordinated-4b,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
M7AYI6,46,,Integrator complex subunit 1,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"carbohydrate binding, DNA binding, hydrolase activity, hydrolyzing O-glycosyl compounds, metal ion binding","carbohydrate metabolic process, U2 snRNA 3'-end processing","Nucleus, Other locations"
H2XMD3,47,,Homeobox domain-containing protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,DNA binding,nan,Nucleus
A0A1V9XZ20,46,,Homeobox domain-containing protein,Tropilaelaps mercedesae,418985,DNA binding,nan,Nucleus
W2SPX5,53,25354587,Homeobox domain protein,Necator americanus (Human hookworm),51031,DNA binding,nan,Nucleus
A0A2T7PWK3,57,,Homeobox domain-containing protein,Pomacea canaliculata (Golden apple snail),400727,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0R3PDU1,45,,Homeobox domain-containing protein,Angiostrongylus costaricensis (Nematode worm),334426,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
R7UWA1,58,,Uncharacterized protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A433U1I5,58,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V3ZRS6,58,20248905,Ceh-10 homeodomain-containing homolog,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","response to stimulus, visual perception",Nucleus
V8PEC8,58,,Ceh-10 homeodomain-containing homolog,Ophiophagus hannah (King cobra) (Naja hannah),8665,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","response to stimulus, visual perception",Nucleus
A0A2G9TFV4,58,,Homeobox domain protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0B2W5Y6,58,,Homeobox protein ceh-10,Toxocara canis (Canine roundworm),6265,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
P41935,58,175811,Homeobox protein ceh-10,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","cell differentiation, locomotion, neuron development, neuron migration, oviposition, positive regulation of transcription from RNA polymerase II promoter involved in neuron differentiation, regulation of cell migration, regulation of transcription by RNA polymerase II",Nucleus
A0A4X3NX88,58,,Ceh-10,Pristionchus pacificus (Parasitic nematode),54126,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A090LC03,58,,Homeobox domain and Homeodomain-like and CVC domain-containing protein,Strongyloides ratti (Parasitic roundworm),34506,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","neuron development, neuron migration, oviposition, positive regulation of transcription from RNA polymerase II promoter involved in neuron differentiation, regulation of cell migration",Nucleus
A0A1D1VG74,58,,Ceh-10 homeodomain-containing homolog,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","response to stimulus, visual perception",Nucleus
A0A1S3JLT8,58,106174198,Ceh-10 homeodomain-containing homolog,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","response to stimulus, visual perception",Nucleus
A0A3M7SPI7,58,,Visual system homeobox,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A7SAY2,58,5510758,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6J8A8P8,58,,Ceh-10 homeodomain-containing homolog,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","response to stimulus, visual perception",Nucleus
V4ABE0,58,20238670,Ceh-10 homeodomain-containing homolog,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","response to stimulus, visual perception",Nucleus
A0A210QXF3,58,,Ceh-10 homeodomain-containing homolog,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","response to stimulus, visual perception",Nucleus
Q9W4B3,58,31469,Ceh-10 homeodomain-containing homolog,Drosophila melanogaster (Fruit fly),7227,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding","negative regulation of transcription by RNA polymerase II, optic lobe placode development, regulation of transcription by RNA polymerase II, response to stimulus, visual perception",Nucleus
A0A226EIF5,58,,Ceh-10 homeodomain-containing homolog,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","response to stimulus, visual perception",Nucleus
A0A158NIY9,58,105620617,Uncharacterized protein,Atta cephalotes (Leafcutter ant),12957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A183IUV8,58,,Uncharacterized protein,Soboliphyme baturini,241478,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3Q0KCT4,58,,Homeobox protein vsx-1-related,Schistosoma mansoni (Blood fluke),6183,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4E0RXR8,58,,Homeobox protein ceh-10,Fasciola hepatica (Liver fluke),6192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0V0YI02,58,,Visual system homeobox 1,Trichinella pseudospiralis (Parasitic roundworm),6337,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6G0V3B2,58,,Uncharacterized protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0N4U9X1,58,,Uncharacterized protein,Dracunculus medinensis (Guinea worm),318479,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3S1BRL9,58,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q9W4B2,58,31470,FI01127p,Drosophila melanogaster (Fruit fly),7227,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding","negative regulation of transcription by RNA polymerase II, optic lobe placode development, positive regulation of neural precursor cell proliferation, regulation of transcription by RNA polymerase II",Nucleus
T1G6Y9,56,20216836,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, transcription regulatory region sequence-specific DNA binding","regulation of transcription, DNA-templated",Nucleus
A0A177BCP5,58,,Uncharacterized protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4C1XDL5,55,,Visual system homeobox 2,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,DNA binding,nan,Nucleus
A0A5B7FYV9,46,,Visual system homeobox 1,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,DNA binding,nan,Nucleus
H3DUC2,58,,Ceh-8,Pristionchus pacificus (Parasitic nematode),54126,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","regulation of transcription by RNA polymerase II, transcription by RNA polymerase II",Nucleus
T1EK91,58,20196991,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
T1IYF1,58,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6G0UVW4,58,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A016SJC5,58,,Homeobox domain-containing protein,Ancylostoma ceylanicum,53326,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
H3ET39,58,,Unc-42,Pristionchus pacificus (Parasitic nematode),54126,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A158R7G7,58,,Homeobox domain-containing protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
M7B1Q5,58,,Homeobox protein prophet of Pit-1,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2R8QNY0,58,,PROP paired-like homeobox 1,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","adenohypophysis development, enteric nervous system development, regulation of transcription by RNA polymerase II",Nucleus
A0A4Z2HKR4,58,,Homeobox protein prophet of Pit-1,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A183X305,49,,Homeobox domain-containing protein,Trichobilharzia regenti (Nasal bird schistosome),157069,DNA binding,nan,Nucleus
A0A183SKT8,46,,Homeobox domain-containing protein,Schistocephalus solidus (Tapeworm),70667,DNA binding,nan,Nucleus
E4XIQ5,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
H2XKR1,58,,Homeobox domain-containing protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A7RZT3,58,5514903,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4SLE9,58,,Retinal homeobox protein Rx2,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2F0BCR2,58,,Homeobox protein prophet of Pit-1,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),9764,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",pituitary gland development,Nucleus
E4WY86,58,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E4WVS1,58,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
T1JH17,58,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0C2M9K5,58,,Homeobox protein OTX,Thelohanellus kitauei (Myxosporean),669202,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A177B124,58,,Homeobox domain-containing protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A177BDC2,58,,Homeobox domain-containing protein,Intoshia linei,1819745,DNA binding,nan,Nucleus
A0A4S2JLN6,58,,Homeobox domain-containing protein,Opisthorchis felineus,147828,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A5K4FAJ6,58,,Homeobox domain-containing protein,Schistosoma mansoni (Blood fluke),6183,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A016U2K4,58,,Homeobox domain protein,Ancylostoma ceylanicum,53326,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G9U5Y0,58,,Homeobox domain protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1EKA2,58,20197002,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q8N693,58,80712,Homeobox protein ESX1,Homo sapiens (Human),9606,"DNA-binding transcription factor activity, RNA polymerase II-specific, DNA-binding transcription repressor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding, sequence-specific DNA binding, sequence-specific double-stranded DNA binding","negative regulation of transcription, DNA-templated, negative regulation of transcription by RNA polymerase II, regulation of cell cycle, regulation of transcription by RNA polymerase II","Nucleus, Other locations"
M0R8Z6,58,,Homeobox domain-containing protein,Rattus norvegicus (Rat),10116,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A4Z2GHY0,58,,Intestine-specific homeobox,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A0B1SKZ4,58,,Homeobox domain protein,Oesophagostomum dentatum (Nodular worm),61180,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
B3S4Q1,58,6756623,Homeobox domain-containing protein,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3R7MU83,58,,Uncharacterized protein,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1S3HHV0,58,106155012,Homeobox protein,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A3M7SL67,58,,Pituitary homeobox 3,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3S3P4W7,58,,Homeobox protein,Dinothrombium tinctorium,1965070,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A553PCI4,58,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1J1J6M6,58,,"CLUMA_CG020598, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
M7ALT3,58,102947119,Homeobox protein,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",multicellular organism development,Nucleus
A0A2F0B5Q6,62,,Pituitary homeobox 1,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),9764,"DNA binding, DNA-binding transcription factor activity",multicellular organism development,Nucleus
A0A3P6PQR0,58,,Homeobox domain-containing protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A5J4P1L3,58,,Homeobox domain-containing protein,Paragonimus westermani,34504,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
W4XMG8,58,,Uncharacterized protein,,,nan,nan,nan
A0A2B4RY77,58,,Pituitary homeobox 1,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y3B072,47,,Homeobox domain containing protein,Euroglyphus maynei (Mayne's house dust mite),6958,DNA binding,nan,Nucleus
A0A1D1VN80,47,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,DNA binding,nan,Nucleus
A0A183ISK9,47,,Homeobox domain-containing protein,Soboliphyme baturini,241478,DNA binding,nan,Nucleus
A0A267EQB7,58,,Homeobox domain-containing protein,Macrostomum lignano,282301,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A7RFR4,58,5522064,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6A4V305,45,,Pituitary homeobox 1,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,DNA binding,nan,Nucleus
A0A158NLI5,58,105621531,Uncharacterized protein,Atta cephalotes (Leafcutter ant),12957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6G0ULJ5,58,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3M7R9W5,58,,Homeobox aristaless-like 3,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A7SKM3,58,5525258,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2B4S8R0,58,,Homeobox protein OTX1 B,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4S7J2,58,,Homeobox protein OTX1,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4S944,58,,Homeobox protein OTX1 B,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A267EL69,58,,Homeobox domain-containing protein,Macrostomum lignano,282301,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E4XK64,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A158NDK3,58,105618693,Homeobox domain-containing protein,Atta cephalotes (Leafcutter ant),12957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A226ERC2,58,,Homeobox protein OTX1 B,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A077Z3Z2,58,,Homeobox protein otx5,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A183J4H2,58,,Homeobox domain-containing protein,Soboliphyme baturini,241478,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1J1HQ55,58,,"CLUMA_CG003285, isoform A",Clunio marinus,568069,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A183ISJ3,58,,Homeobox domain-containing protein,Soboliphyme baturini,241478,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0V0XSY2,58,,Homeobox protein OTX1,Trichinella pseudospiralis (Parasitic roundworm),6337,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q7PS00,63,1272051,AGAP000215-PA,Anopheles gambiae (African malaria mosquito),7165,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
E4XK65,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A090MUA5,58,,Homeotic protein ocelliless,Strongyloides ratti (Parasitic roundworm),34506,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6G0USA7,58,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
H3FWN0,58,,Ttx-1,Pristionchus pacificus (Parasitic nematode),54126,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
B5QSI6,58,180313,Homeobox domain-containing protein,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","regulation of transcription by RNA polymerase II, thermosensory behavior, transcription by RNA polymerase II",Nucleus
A0A0N4VCV6,58,,Homeobox domain-containing protein,Enterobius vermicularis (Human pinworm),51028,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
O43186,58,1406,Cone-rod homeobox protein,Homo sapiens (Human),9606,"DNA-binding transcription activator activity, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, leucine zipper domain binding, nuclear hormone receptor binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II transcription factor binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding, sequence-specific double-stranded DNA binding","animal organ morphogenesis, cell differentiation, nervous system development, positive regulation of transcription by RNA polymerase II, regulation of transcription, DNA-templated, regulation of transcription by RNA polymerase II, response to stimulus, visual perception","Nucleus, Other locations"
T1IPT0,58,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6H5H5E8,50,,Homeobox domain-containing protein,Nesidiocoris tenuis,355587,DNA binding,nan,Nucleus
E0VPR6,47,8233431,"Homeobox protein EgHBX4, putative",Pediculus humanus subsp. corporis (Body louse),121224,DNA binding,nan,Nucleus
A0A0V0XSP6,58,,Homeobox protein OTX1,Trichinella pseudospiralis (Parasitic roundworm),6337,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0C2J9A6,58,,Homeobox protein OTX1,Thelohanellus kitauei (Myxosporean),669202,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
S4R7Z1,54,,Orthodenticle homolog 5,Petromyzon marinus (Sea lamprey),7757,"DNA binding, DNA-binding transcription factor activity",multicellular organism development,Nucleus
A0A1D1W939,47,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,DNA binding,nan,Nucleus
T1EHM3,57,20196073,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A183AYI9,57,,Homeobox domain-containing protein,Echinostoma caproni,27848,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A183SGX4,57,,Homeobox domain-containing protein,Schistocephalus solidus (Tapeworm),70667,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0N4XZ45,51,,Homeotic protein ocelliless (inferred by orthology to a D. melanogaster protein),Nippostrongylus brasiliensis (Rat hookworm),27835,DNA binding,nan,Nucleus
A0A177BAD4,58,,Homeobox protein ANF,Intoshia linei,1819745,DNA binding,nan,Nucleus
H3FYA7,57,,Ceh-37,Pristionchus pacificus (Parasitic nematode),54126,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2G9TVI1,58,,Homeobox domain protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0B1TB06,47,,Homeobox domain protein,Oesophagostomum dentatum (Nodular worm),61180,DNA binding,nan,Nucleus
A0A0N4VFT5,58,,Homeobox domain-containing protein,Enterobius vermicularis (Human pinworm),51028,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2A2L3R6,58,,Homeobox domain-containing protein,Diploscapter pachys,2018661,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0M3JDW6,57,,Homeobox protein ceh-37 (inferred by orthology to a C. elegans protein),Anisakis simplex (Herring worm),6269,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0B2VHK5,57,,Homeobox protein ceh-37,Toxocara canis (Canine roundworm),6265,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0N4UQ32,58,,Homeobox domain-containing protein,Dracunculus medinensis (Guinea worm),318479,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
